Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HxG,AxG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BFDH,BFDD,BFDA,BVH,BVD,BVA,BWH,BWD,BWA,PPH,PPD,PPA,SKBH,SKBD,SKBA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BFDCH,BFDCD,BFDCA,BVCH,BVCD,BVCA,BWCH,BWCD,BWCA,PPCH,PPCD,PPCA,SKBCH,SKBCD,SKBCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA
I2,21/08/2026,19:30,Vicenza,Catanzaro,3,2,H,1,1,D,1.84,1.77,23,13,9,6,15,16,10,6,2,3,0,0,2.57,3,2.82,2.5,3.1,2.75,2.45,3.13,2.75,2.6,3.1,2.7,2.4,2.9,2.88,2.38,2.88,2.8,2.6,3.2,2.9,2.49,3.08,2.79,2.64,3.2,3.1,2.08,1.73,2.2,1.73,2.08,1.68,2.18,1.8,0,1.8,2,1.8,2,1.77,1.95,1.83,2.17,2.25,3.1,3.25,2.25,3.1,3.1,2.25,3.2,3,2.3,3.2,3.1,2.2,2.9,3.2,2.2,2.9,3.1,2.3,3.2,3.25,2.25,3.09,3.16,2.42,3.25,3.55,2.05,1.75,2.2,1.75,2.05,1.7,2.18,1.83,-0.25,1.98,1.83,1.98,1.83,1.93,1.8,2.04,1.94
I2,22/08/2026,18:00,Carrarese,Mantova,1,2,A,0,1,A,0.86,1.17,10,12,2,4,19,17,2,3,1,1,0,0,2.25,3.25,3.1,2.3,3.2,2.88,2.3,3.2,2.88,2.35,3.2,3,2.2,3,3.25,2.15,2.9,3.1,2.38,3.25,3.25,2.29,3.16,3.01,2.48,3.2,3.15,2,1.8,2,1.8,1.95,1.77,2.06,1.82,-0.25,2,1.8,2,1.8,1.97,1.76,2.1,1.81,3.1,3.2,2.3,2.88,3.1,2.38,2.88,3.13,2.38,2.95,3.1,2.4,3,2.88,2.3,2.9,2.88,2.3,3.1,3.2,2.42,2.96,3.07,2.37,3.25,3.2,2.56,2.1,1.7,2.1,1.85,1.99,1.75,2.16,1.82,0.25,1.8,2,1.8,2.05,1.73,2.01,1.83,2.17
I2,22/08/2026,18:00,Sudtirol,Virtus Entella,1,0,H,0,0,D,0.97,0.56,8,15,2,3,15,18,1,5,3,1,1,0,2.01,3.1,3.9,2.05,3.1,3.6,2,3,3.8,2.1,3,3.75,2,3,3.8,2,2.9,3.6,2.1,3.2,4,2.04,3.03,3.77,2.16,3.05,4.1,2.6,1.48,2.6,1.53,2.49,1.49,2.58,1.49,-0.25,1.75,2.05,1.8,2.05,1.73,2.01,1.85,2.12,2.1,3.1,3.5,2.1,3,3.5,2.1,3,3.5,2.15,3,3.6,2.1,2.8,3.75,2.1,2.75,3.6,2.16,3.1,3.8,2.12,2.98,3.6,2.3,3.05,4.1,2.4,1.53,2.55,1.54,2.44,1.5,2.74,1.56,-0.25,1.8,2,1.8,2,1.78,1.95,1.92,2.06
I2,22/08/2026,20:00,Avellino,Arezzo,1,2,A,1,0,H,0.69,1.51,11,16,3,3,11,16,4,2,2,2,0,0,2.15,3.25,3.25,2.15,3.2,3.2,2.15,3.13,3.25,2.2,3.2,3.25,2.1,3.2,3.3,2.05,3.1,3.2,2.2,3.25,3.3,2.16,3.18,3.25,2.2,2.84,3.55,2.2,1.65,2.2,1.67,2.17,1.63,2.2,1.66,-0.25,1.88,1.93,1.9,1.93,1.86,1.87,,,2.05,3.3,3.4,2.1,3.1,3.4,2.1,3.13,3.4,2.2,3.1,3.4,2.05,2.88,3.5,2.05,2.88,3.4,2.2,3.3,3.5,2.11,3.09,3.45,2.2,3.2,4,2.25,1.62,2.25,1.67,2.18,1.62,2.34,1.73,-0.25,1.83,1.98,1.83,1.98,1.79,1.94,,
I2,22/08/2026,20:00,Benevento,Modena,1,2,A,1,0,H,1,1.44,16,13,3,4,11,11,8,4,1,2,0,0,2.25,3.25,3.1,2.25,3.25,3,2.25,3.25,2.9,2.4,3.25,2.87,2.25,3.1,3,2.25,3,2.88,2.4,3.35,3.1,2.28,3.22,2.97,2.52,3.3,3.15,2,1.8,2,1.83,1.94,1.79,2,1.85,-0.25,2.03,1.78,2.03,1.8,1.96,1.77,2.14,1.84,2.35,3.25,2.85,2.38,3.1,2.88,2.3,3.2,2.88,2.45,3.25,2.75,2.3,3,2.88,2.3,2.9,2.8,2.45,3.25,3,2.37,3.17,2.86,2.56,3.3,3.15,2,1.8,2,1.83,1.93,1.79,2.04,1.91,-0.25,2.03,1.78,2.03,1.78,1.99,1.75,2.18,1.82
I2,22/08/2026,20:00,Empoli,Cremonese,1,0,H,1,0,H,1.04,0.82,10,15,5,2,17,11,2,5,1,3,1,0,2.7,3.2,2.55,2.63,3,2.63,2.63,3.2,2.5,2.8,3.1,2.5,2.8,2.88,2.5,2.75,2.8,2.5,2.8,3.2,2.7,2.71,3.04,2.58,2.98,3.15,2.74,2.08,1.73,2.1,1.75,2.04,1.71,2.1,1.76,0,1.98,1.83,1.98,1.85,1.9,1.81,2.06,1.88,3.2,3.2,2.25,3,3.1,2.3,3,3.13,2.25,3.1,3.1,2.3,3.25,2.88,2.2,3.2,2.8,2.2,3.33,3.2,2.38,3.13,3.06,2.28,3.6,3.15,2.42,2.1,1.7,2.1,1.73,2.07,1.69,2.22,1.79,0.25,1.83,1.98,1.83,1.98,1.8,1.93,1.94,2.03
I2,23/08/2026,18:00,Pisa,Padova,0,1,A,0,0,D,1.64,1.09,22,11,7,2,7,18,4,6,1,2,0,0,1.66,3.5,5.25,1.73,3.4,4.5,1.73,3.4,4.6,1.75,3.5,4.75,1.7,3.2,5,1.67,3.1,4.8,1.76,3.5,5.25,1.73,3.39,4.72,1.8,3.45,5.2,2.15,1.67,2.15,1.7,2.12,1.66,2.2,1.73,-0.75,1.98,1.83,2,1.83,1.96,1.78,2.04,1.82,1.71,3.5,4.75,1.73,3.4,4.5,1.73,3.4,4.5,1.75,3.5,4.6,1.73,3.25,4.5,1.73,3.2,4.33,1.78,3.5,4.75,1.74,3.39,4.59,1.87,3.6,5.1,2.08,1.73,2.1,1.73,2.04,1.71,2.2,1.8,-0.5,1.78,2.03,1.78,2.03,1.72,2,1.87,2.12
I2,23/08/2026,18:00,Verona,Ascoli,1,2,A,1,0,H,3.07,1.26,24,10,7,3,14,16,5,4,2,3,0,0,1.61,3.6,5.5,1.62,3.75,5,1.6,3.7,5,1.6,3.8,5.5,1.5,3.5,6.5,1.5,3.4,6,1.65,3.8,6.5,1.6,3.65,5.39,1.63,3.7,5.5,1.95,1.85,1.95,1.88,1.87,1.83,1.89,1.74,-0.75,1.83,1.98,1.83,1.98,1.79,1.94,1.77,1.94,1.76,3.4,4.75,1.73,3.5,4.5,1.73,3.5,4.4,1.75,3.5,4.5,1.67,3.3,5,1.67,3.2,4.8,1.78,3.5,5.5,1.72,3.41,4.75,1.84,3.7,5.3,2,1.8,2,1.91,1.93,1.8,2.06,1.9,-0.5,1.78,2.03,1.78,2.12,1.7,2.03,1.84,2.17
I2,23/08/2026,20:00,Cesena,Sampdoria,1,1,D,1,0,H,1.25,1.08,7,21,2,9,18,8,0,12,3,1,1,0,2.35,3.25,2.85,2.4,3.2,2.75,2.38,3.2,2.75,2.45,3.25,2.8,2.3,3,2.9,2.3,2.9,2.88,2.48,3.25,2.9,2.39,3.15,2.82,2.74,3.15,3,2.05,1.75,2.05,1.8,1.98,1.75,2.12,1.78,0,1.78,2.03,1.78,2.03,1.74,2,1.86,2.08,2.45,3.2,2.75,2.5,3.1,2.75,2.4,3.2,2.75,2.5,3.2,2.7,2.5,2.9,2.7,2.45,2.9,2.7,2.62,3.3,2.8,2.51,3.13,2.73,2.74,3.15,3.05,2.05,1.75,2.05,1.8,1.98,1.75,2.16,1.83,0,1.78,2.03,1.8,2.03,1.76,1.97,1.89,2.11
I2,23/08/2026,20:00,Palermo,Juve Stabia,1,0,H,1,0,H,1.17,1.03,16,13,5,4,21,11,6,6,4,1,0,0,1.62,3.5,5.5,1.62,3.6,5,1.62,3.6,5,1.66,3.6,5,1.5,3.6,6.5,1.5,3.5,6.25,1.67,3.7,6.5,1.62,3.59,5.31,1.68,3.55,6.4,2.05,1.75,2.05,1.8,1.98,1.75,2.06,1.79,-0.75,1.85,1.95,1.85,1.95,1.81,1.91,1.88,2.02,1.46,3.9,7,1.44,4,6.5,1.45,4,6.5,1.5,4.1,6.25,1.4,4.2,6.5,1.4,3.9,6.25,1.5,4.2,7.1,1.46,4.04,6.58,1.49,4.7,7.8,1.9,1.9,1.95,1.91,1.88,1.84,1.96,1.99,-1,1.83,1.98,1.83,1.98,1.79,1.93,1.87,2.11
