Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BFDH,BFDD,BFDA,BVH,BVD,BVA,BWH,BWD,BWA,PPH,PPD,PPA,SKBH,SKBD,SKBA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BFDCH,BFDCD,BFDCA,BVCH,BVCD,BVCA,BWCH,BWCD,BWCA,PPCH,PPCD,PPCA,SKBCH,SKBCD,SKBCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA
SC2,01/08/2026,15:00,Alloa,East Fife,0,0,D,0,0,D,J Kennedy,7,5,4,0,7,8,12,3,1,1,0,0,1.9,3.5,3.4,1.91,3.4,3.4,1.91,3.4,3.6,1.93,3.3,3.25,1.95,3.4,3.5,1.91,3.3,3.4,1.95,3.5,3.6,1.92,3.38,3.4,1.99,3.25,3.75,1.9,1.9,1.9,1.91,1.85,1.85,1.89,1.87,-0.5,1.95,1.85,1.95,1.85,1.92,1.78,1.99,1.84,2.15,3.4,2.88,2.1,3.3,3,2,3.4,3.3,2.1,3.2,2.95,2.1,3.3,3,2.1,3.25,3,2.2,3.4,3.3,2.09,3.27,3.09,2.44,3.5,3.05,1.9,1.9,1.9,1.93,1.82,1.86,1.95,2,-0.25,1.93,1.88,1.93,1.97,1.8,1.91,1.88,2.04
SC2,01/08/2026,15:00,Cove Rangers,Airdrie Utd,0,0,D,0,0,D,D Graves,10,8,6,3,18,13,4,5,2,3,0,0,2.63,3.4,2.25,2.63,3.4,2.3,2.88,3.2,2.3,2.55,3.4,2.3,2.63,3.5,2.3,2.6,3.4,2.25,2.88,3.5,2.35,2.66,3.38,2.29,1.04,1.08,1.05,2,1.8,2,1.8,1.94,1.76,1.31,1.08,0,2.08,1.73,2.08,1.73,2.04,1.69,1.01,1.03,3.1,3.6,1.91,3.4,3.3,1.95,3.3,3.3,2.05,3.2,3.2,1.98,3.6,3.4,1.87,3.5,3.3,1.85,3.6,3.6,2.05,3.35,3.31,1.96,3.95,3.7,2.02,2,1.8,2,1.91,1.9,1.79,1.97,1.95,0.5,1.8,2,1.8,2.02,1.73,1.96,1.92,2.02
SC2,01/08/2026,15:00,East Kilbride,Queen of Sth,5,1,H,3,1,H,J Hay,15,4,7,4,8,19,4,1,1,6,0,0,1.45,3.9,5.75,1.4,4.2,6,1.44,4.2,6,1.46,4.1,5.25,1.4,4.33,6,1.4,4.2,5.75,1.48,4.33,6,1.44,4.16,5.65,1.04,1.14,1.09,1.62,2.25,1.67,2.25,1.63,2.13,1.22,1.05,-1.25,2.03,1.78,2.03,1.78,1.97,1.74,,,1.5,3.9,5.25,1.53,3.75,5,1.5,4.2,5.25,1.55,4,4.4,1.5,4.33,4.75,1.5,4.2,4.6,1.61,4.5,5.25,1.54,4.07,4.67,1.61,4.7,5.4,1.57,2.35,1.63,2.35,1.58,2.21,1.64,2.44,-1,1.9,1.9,1.9,1.9,1.87,1.83,1.98,1.93
SC2,01/08/2026,15:00,Montrose,Hamilton,0,5,A,0,2,A,A Hendry,3,8,1,7,12,11,4,9,0,0,0,0,3.3,3.4,1.9,3.1,3.5,2,3.3,3.6,1.95,3.1,3.4,1.95,3.2,3.5,2,3.1,3.4,2,3.3,3.6,2.05,3.16,3.45,1.97,2.98,3.15,1.88,1.73,2.08,1.73,2.1,1.7,2.03,1.64,1.89,0.5,1.83,1.98,1.83,2,1.74,1.96,1.75,1.88,2.75,3.3,2.2,2.75,3.4,2.2,2.8,3.4,2.25,2.87,3.3,2.1,2.75,3.5,2.2,2.7,3.4,2.15,3.25,3.5,2.25,2.88,3.37,2.14,3.05,3.7,2.3,1.7,2.1,1.73,2.1,1.69,2.02,1.82,2.18,0.25,1.8,2,1.8,2,1.77,1.94,1.95,2
SC2,01/08/2026,15:00,Peterhead,Ross County,0,1,A,0,0,D,C Stirling,8,13,3,5,16,14,3,6,2,4,0,0,3.5,4,1.73,4,3.75,1.67,4.2,3.6,1.73,3.7,3.75,1.71,4.2,3.8,1.67,4,3.75,1.67,4.2,4,1.73,3.9,3.77,1.71,1.04,1.04,1.04,1.83,1.98,1.83,1.98,1.79,1.91,1.28,1.05,0.75,1.8,2,1.8,2,1.78,1.93,1.02,1.04,3.9,4.1,1.62,4.5,3.6,1.62,4.8,3.75,1.62,4.6,3.5,1.63,5,3.75,1.57,4.8,3.6,1.55,5,4.1,1.71,4.47,3.69,1.63,5.8,4.1,1.67,1.85,1.95,1.85,2,1.76,1.93,1.87,2.1,0.75,1.98,1.83,1.98,1.83,1.91,1.8,2.11,1.84
SC2,08/08/2026,15:00,Airdrie Utd,East Kilbride,1,1,D,0,0,D,G Irvine,8,10,4,4,14,17,3,7,3,4,0,0,3.5,3.5,1.9,3.3,3.6,1.9,3.5,3.5,1.91,3.25,3.5,1.9,3.3,3.8,1.91,3.25,3.6,1.85,3.5,4.2,1.95,3.26,3.65,1.9,3.7,3.8,1.91,1.73,2.08,1.73,2.08,1.71,2.01,1.71,2.18,0.5,1.85,1.95,1.85,1.95,1.8,1.9,1.98,1.91,2.5,3.4,2.45,2.6,3.4,2.3,2.75,3.5,2.25,2.55,3.3,2.3,2.63,3.5,2.3,2.6,3.4,2.3,2.75,3.6,2.75,2.55,3.43,2.35,2.74,3.8,2.54,1.7,2.1,1.7,2.2,1.65,2.1,1.75,2.3,0,1.93,1.88,2.05,1.88,1.99,1.74,2.05,1.88
SC2,08/08/2026,15:00,East Fife,Cove Rangers,2,0,H,0,0,D,I Snedden,17,7,9,4,12,12,2,3,1,0,0,0,2.15,3.1,3,2.15,3.2,3,2.15,3.25,3.13,2.1,3.2,3,2.1,3.3,3.2,2.1,3.1,3.1,2.15,3.3,3.2,2.12,3.2,3.06,2.22,3.35,3.25,2.05,1.75,2.1,1.75,2.01,1.71,2.04,1.77,-0.25,1.93,1.88,1.93,1.88,1.86,1.85,1.9,1.9,2.2,3.1,2.9,2.25,3.2,2.8,2.25,3.13,3,2.2,3.1,2.85,2.2,3.1,3,2.2,3.1,2.9,2.25,3.5,3,2.2,3.17,2.91,2.24,3.5,3.45,2.08,1.73,2.08,1.83,1.97,1.74,2.08,1.85,-0.25,1.98,1.83,1.98,1.83,1.93,1.79,1.94,2
SC2,08/08/2026,15:00,Hamilton,Alloa,1,0,H,1,0,H,P Stuart,9,5,3,1,19,11,7,3,4,2,0,0,1.67,3.4,4.75,1.6,3.75,4.6,1.65,3.6,4.75,1.62,3.6,4.5,1.62,3.8,4.75,1.6,3.6,4.6,1.67,3.8,4.8,1.62,3.64,4.58,1.66,4,5.5,1.9,1.9,1.9,1.93,1.83,1.86,1.9,1.92,-0.75,1.9,1.9,1.9,1.93,1.82,1.88,1.84,2.12,1.6,3.5,5,1.57,3.6,5,1.6,3.7,5,1.58,3.6,4.8,1.6,3.6,4.75,1.5,3.75,5,1.64,4,5,1.59,3.68,4.82,1.7,4.1,5.4,1.9,1.9,1.9,1.91,1.83,1.86,1.96,2,-0.75,1.8,2,1.8,2,1.77,1.94,1.88,2.06
SC2,08/08/2026,15:00,Queen of Sth,Peterhead,0,1,A,0,1,A,G Grainger,7,14,0,5,8,17,9,2,0,1,0,0,2.6,3.4,2.3,2.5,3.4,2.38,2.63,3.4,2.38,2.55,3.4,2.3,2.6,3.5,2.4,2.5,3.4,2.38,2.63,3.5,2.45,2.57,3.4,2.35,2.66,3.5,2.48,1.7,2.1,1.7,2.1,1.67,2.06,1.73,2.08,0,2.03,1.78,2.03,1.83,1.95,1.77,1.95,1.81,2.75,3.4,2.2,2.63,3.4,2.3,2.8,3.4,2.25,2.75,3.3,2.2,2.7,3.3,2.3,2.9,3.25,2.1,2.9,3.4,2.38,2.76,3.33,2.25,2.94,3.5,2.52,1.73,2.08,1.77,2.1,1.7,2.01,1.82,2.12,0,2.1,1.7,2.1,1.83,2.02,1.71,2.12,1.82
SC2,08/08/2026,15:00,Ross County,Montrose,2,1,H,1,1,D,S Murdoch,22,7,11,4,12,15,10,4,4,3,0,0,1.27,4.5,8.5,1.25,5,8.5,1.25,5.25,9.5,1.27,5,8.5,1.25,5,9,1.25,4.8,8,1.29,5.25,9.5,1.27,4.99,8.54,1.25,5,8.8,1.62,2.25,1.62,2.25,1.58,2.21,1.55,2.04,-1.5,1.85,1.95,1.85,1.95,1.81,1.88,1.74,1.81,1.4,3.9,6.25,1.36,4.33,7,1.4,4.4,6.5,1.37,4.33,6.5,1.4,4.2,6.5,1.4,4,6.25,1.43,4.8,8.5,1.38,4.28,6.64,1.5,4.5,7.6,1.67,2.15,1.67,2.25,1.63,2.14,1.78,2.18,-1.25,1.95,1.85,1.95,1.85,1.88,1.82,2.09,1.85
