Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HxG,AxG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BFDH,BFDD,BFDA,BVH,BVD,BVA,BWH,BWD,BWA,PPH,PPD,PPA,SKBH,SKBD,SKBA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BFDCH,BFDCD,BFDCA,BVCH,BVCD,BVCA,BWCH,BWCD,BWCA,PPCH,PPCD,PPCA,SKBCH,SKBCD,SKBCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA
SP2,14/08/2026,19:30,Sociedad B,Castellon,0,1,A,0,1,A,0.22,1.45,4,13,1,5,22,21,5,8,2,4,0,0,4.1,3.9,1.76,3.6,3.75,1.83,3.7,3.7,1.8,3.6,3.6,1.83,3.7,3.7,1.8,3.6,3.6,1.8,4.1,4,1.85,3.69,3.73,1.81,4,4,1.92,1.67,2.15,1.67,2.3,1.62,2.19,1.7,2.34,0.5,2.03,1.78,2.03,1.83,1.92,1.79,2.05,1.92,4.5,3.9,1.68,4,3.75,1.73,4.2,3.75,1.7,4,3.75,1.73,4.2,3.75,1.67,3.8,3.5,1.73,4.5,4,1.8,4.1,3.77,1.72,4.6,4.1,1.82,1.67,2.15,1.67,2.3,1.62,2.18,1.73,2.34,0.75,1.9,1.9,1.9,1.98,1.82,1.91,1.91,2.06
SP2,15/08/2026,16:00,Andorra,Ceuta,5,1,H,1,0,H,4.26,1.3,25,5,11,1,22,8,2,2,3,1,0,0,1.68,3.7,4.75,1.67,3.75,4.5,1.67,3.7,4.5,1.68,3.7,4.33,1.62,3.75,4.5,1.62,3.6,4.33,1.73,3.9,4.75,1.67,3.72,4.4,1.75,3.9,4.8,1.8,2,1.8,2,1.75,1.98,1.86,2.04,-0.75,1.93,1.88,1.93,1.88,1.88,1.85,1.98,1.92,1.51,4,5.75,1.53,4,5.5,1.53,3.8,5.5,1.53,4.1,5.25,1.53,3.75,5,1.53,3.6,5,1.58,4.1,5.75,1.55,3.89,5.39,1.65,4.2,6,1.8,2,1.8,2,1.76,1.97,1.9,2.08,-1,1.95,1.85,1.98,1.85,1.94,1.79,2.1,1.88
SP2,15/08/2026,18:00,Cadiz,Celta B,0,0,D,0,0,D,1.91,0.44,17,5,3,5,14,21,6,2,4,3,0,0,1.96,3.5,3.6,1.95,3.3,3.6,1.95,3.4,3.5,2,3.25,3.5,1.9,3.3,3.6,1.85,3.25,3.5,2.05,3.5,3.75,1.96,3.32,3.55,2.06,3.5,3.9,1.98,1.83,1.98,1.83,1.92,1.8,1.92,1.78,-0.5,2,1.8,2,1.8,1.95,1.76,2.06,1.86,2.1,3.5,3.25,2.05,3.4,3.2,2.1,3.3,3.2,2.1,3.25,3.2,2.05,3.1,3.2,2.05,3.1,3.2,2.12,3.5,3.5,2.08,3.31,3.25,2.24,3.5,3.55,1.9,1.9,1.9,1.91,1.86,1.86,2,1.98,-0.25,1.85,1.95,1.85,2,1.8,1.93,1.92,2.04
SP2,15/08/2026,18:00,Oviedo,Granada,0,0,D,0,0,D,0.41,0.36,9,10,3,3,17,13,3,2,2,2,0,0,1.68,3.5,5,1.7,3.6,4.5,1.7,3.5,4.6,1.71,3.6,4.33,1.67,3.6,4.5,1.67,3.5,4.33,1.75,3.8,5,1.7,3.57,4.47,1.75,3.75,5.2,2,1.8,2,1.83,1.93,1.79,2.06,1.83,-0.75,1.95,1.85,1.95,1.85,1.91,1.81,1.99,1.9,1.96,2.85,4.5,1.95,3.1,4,1.95,3,4,2,3,3.75,1.91,2.9,4,1.95,2.9,3.8,2.08,3.14,4.5,1.97,3.02,3.96,2.08,3.25,4.5,2.7,1.44,2.7,1.53,2.47,1.49,2.72,1.57,-0.5,2,1.8,2,1.8,1.94,1.76,2.1,1.88
SP2,15/08/2026,20:30,Mallorca,Valladolid,2,0,H,0,0,D,0.51,1.01,7,12,3,1,14,12,3,3,2,2,0,0,1.66,3.5,5.25,1.67,3.6,4.6,1.65,3.6,4.75,1.68,3.5,4.6,1.65,3.6,4.5,1.67,3.5,4.33,1.73,3.65,5.25,1.67,3.55,4.77,1.72,3.7,5.5,1.95,1.85,2,1.88,1.91,1.82,2,1.87,-0.75,1.9,1.9,1.93,1.9,1.86,1.86,1.94,1.96,1.66,3.5,5.25,1.7,3.6,4.5,,,,1.68,3.5,4.6,1.62,3.5,5,1.62,3.4,4.75,1.74,3.65,5.25,1.67,3.55,4.78,,,,1.95,1.85,1.95,1.85,1.92,1.82,,,-0.75,1.9,1.9,1.93,1.9,1.88,1.85,,
SP2,16/08/2026,16:00,Eibar,Tenerife,1,3,A,1,2,A,0.96,0.55,16,7,5,4,12,14,7,3,0,1,0,0,1.86,3.3,4.2,1.9,3.25,4,1.9,3.2,3.9,1.9,3.2,3.9,1.85,3.25,3.8,1.83,3.1,3.75,1.95,3.3,4.2,1.89,3.21,3.97,1.96,3.1,4.2,2.25,1.62,2.25,1.62,2.24,1.59,2.12,1.52,-0.5,1.95,1.85,1.95,1.9,1.88,1.83,,,1.79,3.4,4.5,1.83,3.25,4.2,1.8,3.25,4.33,1.82,3.25,4.2,1.75,3.1,4.33,1.8,3.1,4.2,1.88,3.4,4.5,1.81,3.26,4.29,1.9,3.45,5,2.3,1.6,2.3,1.67,2.22,1.6,2.4,1.7,-0.5,1.83,1.98,1.84,1.98,1.8,1.91,1.9,2.07
SP2,16/08/2026,18:00,Burgos,Cordoba,3,2,H,2,2,D,2.21,1.96,13,20,5,8,14,11,1,7,1,3,0,0,2.35,3.2,3,2.4,3.2,2.8,2.38,3.1,2.88,2.3,3.1,2.9,2.38,3.1,2.75,2.38,3.1,2.7,2.45,3.2,3,2.38,3.11,2.87,2.52,2.98,3.1,2.25,1.62,2.25,1.65,2.2,1.62,2.28,1.25,-0.25,2.05,1.75,2.05,1.75,2.02,1.73,,,2.2,3.25,3.2,2.25,3.2,3,2.2,3.13,3.13,2.2,3.1,3.1,2.15,3,3.1,2.15,2.9,3.1,2.25,3.25,3.25,2.22,3.1,3.13,2.4,3.3,3.45,2.15,1.67,2.2,1.7,2.12,1.65,2.3,1.75,-0.25,1.98,1.83,1.98,1.85,1.9,1.83,2.03,1.93
SP2,16/08/2026,18:00,Girona,Leganes,1,1,D,0,0,D,2.09,0.58,27,5,7,3,6,16,9,0,2,3,0,0,1.57,3.5,6.25,1.62,3.6,5,1.6,3.6,5.25,1.6,3.6,5.25,1.57,3.6,5,1.57,3.5,4.8,1.65,3.75,6.25,1.6,3.61,5.23,1.65,2.14,5.3,2.1,1.7,2.1,1.8,2.03,1.72,2.04,1.63,-0.75,1.8,2,1.8,2,1.78,1.95,,,1.49,3.75,7,1.53,4,5.5,1.53,3.7,5.75,1.53,3.9,5.5,1.5,3.8,5.5,1.53,3.6,5.5,1.57,4,7,1.53,3.81,5.7,1.63,4.1,6.6,2.05,1.75,2.05,1.9,1.92,1.8,2,1.96,-1,1.95,1.85,1.95,1.85,1.94,1.79,2.1,1.88
SP2,16/08/2026,20:30,Las Palmas,Albacete,2,1,H,1,0,H,1.48,1.19,12,12,4,4,6,16,3,6,1,2,0,0,1.57,3.8,5.5,1.62,3.75,5,1.62,3.6,5,1.66,3.6,4.75,1.6,3.75,4.75,1.6,3.6,4.6,1.67,3.8,5.5,1.63,3.67,4.95,1.44,3.1,5.2,1.95,1.85,1.95,1.88,1.88,1.83,1.94,1.25,-0.75,1.83,1.98,1.84,1.98,1.81,1.92,,,2.01,3.4,3.6,1.95,3.4,3.5,1.95,3.3,3.5,1.95,3.3,3.6,1.91,3.1,3.7,1.91,3.1,3.6,2.01,3.5,3.9,1.94,3.31,3.64,2.04,3.55,4.2,2,1.8,2,1.83,1.92,1.8,2.06,1.92,-0.5,2.03,1.78,2.03,1.9,1.91,1.79,2.04,1.92
SP2,17/08/2026,18:00,Sp Gijon,Sabadell,0,0,D,0,0,D,0.37,1.78,8,15,5,2,7,20,1,8,1,3,0,0,1.71,3.4,5,1.8,3.3,4.33,1.8,3.3,4.4,1.78,3.25,4.33,1.75,3.3,4.4,1.73,3.1,4,1.8,3.4,5,1.78,3.3,4.42,1.53,2.04,1.73,2.25,1.62,2.25,1.65,2.18,1.63,1.1,1.25,-0.5,1.78,2.03,1.78,2.03,1.76,1.96,,,2.1,3.1,3.6,2,3.2,3.6,2.1,3.1,3.4,2.05,3.1,3.5,1.91,3,3.8,1.91,3,3.75,2.12,3.2,3.9,2.04,3.06,3.63,2.2,3.2,4.1,2.35,1.57,2.35,1.62,2.23,1.59,2.42,1.69,-0.25,1.85,1.95,1.85,2.1,1.76,1.97,1.86,2.12
