Div,Date,Time,HomeTeam,AwayTeam,Referee,B365H,B365D,B365A,BFDH,BFDD,BFDA,BVH,BVD,BVA,BWH,BWD,BWA,PPH,PPD,PPA,SKBH,SKBD,SKBA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BFDCH,BFDCD,BFDCA,BVCH,BVCD,BVCA,BWCH,BWCD,BWCA,PPCH,PPCD,PPCA,SKBCH,SKBCD,SKBCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA
B1,04/09/2026,19:45,Lommel SK,Club Brugge,,8.5,5.25,1.29,9.5,6,1.22,9.5,6,1.25,8.25,6.5,1.29,10,6,1.18,9,5.5,1.2,10,6.5,1.3,8.83,5.93,1.25,9.8,6.2,1.32,1.3,3.5,1.3,3.5,1.29,3.4,1.35,3.7,1.75,1.85,1.95,1.85,1.95,1.82,1.9,1.97,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,05/09/2026,15:00,Charleroi,St. Gilloise,,3.1,3.3,2.1,3.1,3.3,2.15,3.1,3.3,2.15,3.25,3.5,2.15,3,3.3,2.1,3,3.25,2.1,3.25,3.5,2.2,3.11,3.37,2.14,3.35,3.4,2.24,1.95,1.85,1.95,1.91,1.87,1.84,1.97,1.92,0.25,1.9,1.9,1.9,1.9,1.88,1.85,1.97,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,05/09/2026,17:15,Mechelen,Westerlo,,2.05,3.5,3.1,2.05,3.6,3.1,2.05,3.6,3.1,2.15,3.6,3.2,2,3.6,3,2,3.5,2.9,2.15,3.7,3.2,2.07,3.6,3.08,2.1,2.96,3.1,1.6,2.3,1.62,2.38,1.58,2.29,1.55,2.02,-0.25,1.85,1.95,1.85,1.95,1.81,1.91,1.81,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,05/09/2026,19:45,St Truiden,RAAL La Louviere,,1.6,3.7,4.75,1.6,3.75,5,1.57,3.9,5,1.66,4,5,1.57,3.8,5,1.55,3.75,4.75,1.66,4.2,5,1.6,3.92,4.93,1.6,4.3,1.1,1.7,2.1,1.75,2.1,1.71,2.05,1.73,1.43,-0.75,1.78,2.03,1.8,2.03,1.76,1.98,1.79,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,05/09/2026,19:45,Standard,Antwerp,,2.15,3.2,3.2,2.1,3.5,3,2.1,3.4,3.13,2.2,3.6,3.1,2.1,3.4,3,2.1,3.3,2.9,2.2,3.6,3.25,2.14,3.42,3.09,2.14,3.45,3,1.8,2,1.8,2,1.78,1.95,1.71,1.95,-0.25,1.88,1.93,1.88,1.93,1.85,1.88,1.82,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,06/09/2026,12:30,Cercle Brugge,Gent,,2.75,3.4,2.25,2.75,3.5,2.3,2.75,3.5,2.25,2.85,3.6,2.3,2.63,3.5,2.3,2.6,3.4,2.25,2.85,3.6,2.35,2.75,3.49,2.29,2.78,3.6,2.34,1.7,2.1,1.7,2.2,1.66,2.13,1.71,2.16,0,2.08,1.73,2.08,1.73,2.05,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,06/09/2026,15:00,Kortrijk,Waregem,,3.1,3.4,2.1,3,3.5,2.1,3.13,3.5,2.05,3.1,3.6,2.15,3,3.5,2.05,2.9,3.4,2.05,3.25,3.6,2.15,3.09,3.49,2.1,3.15,3.45,1.35,1.67,2.15,1.7,2.2,1.66,2.13,1.61,2.04,0.25,2,1.8,2,1.85,1.94,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,06/09/2026,17:30,Anderlecht,Genk,,2.38,3.4,2.7,2.3,3.5,2.75,2.3,3.4,2.7,2.45,3.6,2.7,2.3,3.5,2.63,2.25,3.4,2.6,2.45,3.6,2.75,2.35,3.47,2.69,2.4,3.5,2.78,1.7,2.1,1.7,3.25,1.65,2.18,1.71,1.24,-0.25,2.03,1.78,2.08,1.78,2.04,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,06/09/2026,18:15,Beveren,Oud-Heverlee Leuven,,2,3.5,3.4,2.05,3.6,3.1,2.05,3.6,3.1,2.05,3.8,3.25,1.95,3.6,3,1.95,3.5,3,2.05,4,3.4,2.02,3.65,3.15,1.98,3.75,3.1,1.6,2.3,1.67,2.38,1.58,2.27,1.5,2.36,-0.5,2.08,1.73,2.08,1.8,1.99,1.74,1.98,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,04/09/2026,19:30,Stuttgart,FC Koln,,1.48,5,5.5,1.44,5,6,1.45,5,5.75,1.49,5,5.5,1.44,4.75,5.5,1.44,5,5.5,1.49,5,6,1.46,4.98,5.61,1.53,5.2,6.4,1.36,3.2,1.38,3.3,1.35,3.11,1.4,3.4,-1.25,1.95,1.9,1.95,1.9,1.92,1.82,2.05,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
